Book Name,Author,Rating,User Rates,Price
Engineering Mechanics Dynamics,Russell Charles Hibbeler,4.6,3,349.65
Fundamentals of Communication Systems,John Proakis,4.3,22,360.0
Sivil Havacılıkta Kariyer - Empatik Yaklaşımlar,Gülaçtı Şen,4.0,1,24.9
The Design of Everyday Things: Revised and Expanded Edition,Don Norman,4.6,2882,342.89
Leading the Lean Enterprise Transformation,George Koenigsaecker,4.7,48,827.21
Lean Human Resources,Cheryl M. Jekiel,5.0,6,627.75
Extreme Programming Applied: Playing to Win (Xp Series),Ken Auer,4.7,6,535.12
Edison vs. Tesla: The Battle over Their Last Invention,Joel Martin,4.0,20,52.05
Hormonların Gücü: Hayatımızdaki Hemen Her Şeyi Kontrol Eden Salgıların Tarihi,Randi Hutter Epstein,5.0,4,39.16
Just and Unjust Wars: A Moral Argument with Historical Illustrations,Michael Walzer,4.6,122,101.9
The Art of War,Tzu Sun,4.6,228,119.23
Netter's Anatomy Flash Cards (Netter Basic Science),John T. Hansen PhD,4.7,1278,715.52
The Lean Startup: How Constant Innovation Creates Radically Successful Businesses,Eric Ries,4.6,4839,207.99
Microelectronics,Behzad Razavi,5.0,1,679.78
Mühendisler için Vektör Mekaniği Dinamik 10. Metrik Baskıdan Çeviri Ekonomik Baskı,Ferdinand Beer,5.0,1,140.11
Mineraller ve Değerli Taşlar,François Farges,4.8,5,56.0
Electronic Devices and Circuit Theory: Pearson New International Edition,Robert Boylestad,4.1,53,220.5
"VW Golf (bis Okt. 83), Jetta (bis Jan. 84), Scirocco (bis Apr. 81): Benziner ohne Einspritzer (Jetzt helfe ich mir selbst): 104",Dieter Korp,4.3,13,667.65
Brain Fables: The Hidden History of Neurodegenerative Diseases and a Blueprint to Conquer Them,Alberto Espay,4.6,29,555.77
"Introduction to Polymers, Third Edition",Robert J. Young,4.5,62,630.81
"Electronics Fundamentals: Pearson New International Edition: Circuits, Devices & Applications",Thomas Floyd,4.5,144,238.5
A Little Book of Self Care: Trigger Points: Use the power of touch to live life pain-free,Amanda Oswald,4.3,69,290.29
How to Invent Everything: Rebuild All of Civilization (with 96% fewer catastrophes this time),Ryan North,4.7,127,488.74
The World Is Blue: How Our Fate and the Ocean's Are One,Sylvia A. Earle,4.8,138,144.05
Nitel Araştırma Yöntemleri,Ünsal Sığrı,5.0,1,76.0
Yapay Zeka,Harvard Business Review,5.0,1,42.0
How to Create a Mind: The Secret of Human Thought Revealed,Ray Kurzweil,4.4,459,343.72
Endurance: Shackleton's Incredible Voyage to the Antarctic,Alfred Lansing,4.8,3014,159.44
Being Time: Case Studies in Musical Temporality,Richard Glover,5.0,2,462.9
"Pocket Atlas of Sectional Anatomy, Volume I: Head and Neck: Computed Tomography and Magnetic Resonance Imaging (Basic Sciences (Thieme)): 1",Torsten Bert Möller,4.8,28,820.19
A Man on the Moon: The Voyages of the Apollo Astronauts,Andrew Chaikin,4.8,373,208.77
"Engineering Vibrations, International Edition",Daniel Inman,4.1,6,450.0
Reversing: Secrets of Reverse Engineering,Eldad Eilam,4.6,122,503.63
Bir Astronottan Hayat Dersleri,Chris Hadfield,4.5,5,33.0
Watch Repair for Beginners: An Illustrated How-To Guide for the Beginner Watch Repairer,Harold C. Kelly,4.1,518,87.33
MATLAB For Dummies,Jim Sizemore,4.3,136,257.45
Arkeolojik Mimaride Taş,Orhan Bingöl,5.0,1,95.9
The Fifth Witness,Michael Connelly,4.7,944,208.18
Güneş Sistemi - Fotoğraflı Kartlar,Marcus Chown,5.0,2,69.0
"Science and Cooking: Physics Meets Food, from Homemade to Haute Cuisine",Michael Brenner,4.7,211,591.39
"Fundamentals of Applied Electromagnetics, Global Edition",Fawwaz Ulaby,4.4,112,387.64
Sketching:Drawing Techniques for Product Designers,Roselien Steur,4.5,246,269.03
Chernobyl: History of a Tragedy,Serhii Plokhy,4.7,801,147.05
Pale Blue Dot: A Vision of the Human Future in Space,Carl Sagan,4.7,900,184.82
Quantum Physics,Stephen Gasiorowicz,4.2,25,848.31
Cro Magnon: Buzul Çağı İlk Modern İnsanı Nasıl Yarattı?,Brian Fagan,3.5,3,59.2
The Game Console: A History in Photographs,Evan Amos,4.8,1006,232.46
Calculus,Michael Spivak,4.2,73,460.5
Modern Quantum Mechanics,J. J. Sakurai,4.7,102,520.97
"Greene, N: Mercedes-Benz W126 S-Class 1979-1991 (Crowood Autoclassics)",Nik Greene,4.6,34,625.22
An Introduction to Computational Fluid Dynamics: The Finite Volume Method,H. Versteeg,4.6,40,247.5
My Inventions and Other Writings,Nikola Tesla,4.6,220,72.9
How Innovation Works,Matt Ridley,4.7,460,223.8
"USMLE Step 1: Integrated Vignettes: Must-know, high-yield review",Kaplan Medical,4.4,120,359.54
"Mechanical Behavior of Materials, Global Edition",Norman E. Dowling,4.7,9,360.0
Achtung Panzer!,Heinz Guderian,4.6,223,104.84
"Engineering Electromagnetics and Waves, Global Edition",Aziz Inan,3.4,3,421.35
Kronik Hastalıklarda Fonksiyonel Tıp: Hastalık Yanılgısı,Jeffrey S. Bland,3.0,2,95.0
"OCP Oracle Certified Professional Java SE 11 Developer Complete Study Guide: Exam 1Z0-815, Exam 1Z0-816, and Exam 1Z0-817",Jeanne Boyarsky,4.7,86,974.15
Naked Statistics: Stripping the Dread from the Data,Charles Wheelan,4.6,1174,166.32
GENERAL CHEMISTRY: Principles and Modern Applications,RALPH ETAL PETRUCCI,4.5,87,475.0
"ColdFusion Presents: New Thinking: From Einstein to Artificial Intelligence, the Science and Technology that Transformed Our World (A Technology Gift for Men, for readers of Making the Modern World)",Dagogo Altraide,4.7,188,425.08
Greek Waters Pilot: A yachtsman's guide to the Ionian and Aegean coasts and islands of Greece,Rod & Lucinda Heikell,4.9,66,899.0
Doğa - Yabani Çiçekler,Sarah Khan,5.0,4,22.9
QED: The Strange Theory of Light and Matter (Princeton Science Library),Richard P. Feynman,4.7,209,355.9
Mega Tech: Bilim-Teknoloji-Gelecek,Daniel Franklin,4.6,3,37.36
1001 Buildings You Must See Before You Die,Mark Irving,4.7,33,189.9
Mathematical Methods of Classical Mechanics (Graduate Texts in Mathematics),V.I. Arnol'd,4.2,49,884.81
"Build Your Own Drone Manual: The practical guide to safely building, operating and maintaining an Unmanned Aerial Vehicle (UAV)",Alex Elliott,4.5,72,256.43
Tim Cook: The Genius Who Took Apple to the Next Level,Leander Kahney,4.3,224,220.58
"Take the Slow Road: Scotland: Inspirational Journeys Round the Highlands, Lowlands and Islands of Scotland by Camper Van and Motorhome",Martin Dorey,4.7,1133,182.07
The Next Fifty Things that Made the Modern Economy,Tim Harford,4.5,48,331.41
The Art of The Last of Us,Various,4.9,1285,612.39
"Power System Analysis and Design, SI Edition",Mulukutla Sarma,4.4,79,425.0
Schaum's Outline of Electrical Power Systems,Syed Nasar,4.3,40,289.99
Working Effectively with Legacy Code (Robert C. Martin),Michael C. Feathers,4.6,247,506.84
Science Hacks,Colin Barras,4.5,28,239.45
"The Advanced Roblox Coding Book: An Unofficial Guide: Learn How to Script Games, Code Objects and Settings, and Create Your Own World!",Heath Haskins,4.5,805,105.63
Radio Wave Propagation for Telecommunication Applications (Signals and Communication Technology),P.de Fornel,2.6,2,967.28
The Greatest Show on Earth: The Evidence for Evolution,Richard Dawkins,4.7,966,302.51
"The AI Economy: Work, Wealth and Welfare in the Robot Age",Roger Bootle,4.1,34,265.79
Mühendisler için Malzeme Bilimine Giriş,James F. Shackelford,5.0,3,126.25
"The Complete Book of Ayurvedic Home Remedies: Based on the Timeless Wisdom of India's 5,000-Year-Old Medical System",Vasant Lad M.A.Sc.,4.6,1210,386.28
Learning Robotic Process Automation: Create Software robots and automate business processes with the leading RPA tool – UiPath (English Edition),Alok Mani Tripathi,3.9,30,803.75
Materials for Civil and Construction Engineers in SI Units,Michael Mamlouk,4.3,10,421.35
Statik - Mukavemet: (Skaler Mekanik - 356 Çözümlü Problem),Mehmet H. Omurtag,5.0,1,142.7
Data Structures Through C in Depth,S. K. Srivastava,4.4,449,509.26
Gamish: A Graphic History of Gaming,Edward Ross,4.5,91,465.82
Dünyanın En Zeki Çocukları - Nasıl Başardılar?,Amanda Ripley,5.0,1,30.4
Hello World: How to be Human in the Age of the Machine,Hannah Fry,4.6,525,121.19
Kuantum Teorisi: Yeni Fiziği ve Atomaltı Parçacıkları Daha İyi Anlamak İçin Çizgibilim,Oscar Zarate,5.0,4,43.72
Bilinçaltını Keşfetmek - Bir Dahinin Zihnin Derinliklerine Yolculuğu ve Teorilerinin Ortaya Çıkışı,Sigmund Freud,5.0,2,26.72
Time Reborn: From the Crisis in Physics to the Future of the Universe,Lee Smolin,4.2,146,182.71
Chemical Reaction Engineering,Octave Levenspiel,4.8,34,869.08
"Horse, the Wheel, and Language: How Bronze-Age Riders from the Eurasian Steppes Shaped the Modern World",David W. Anthony,4.7,297,534.14
İzafiyet-Çizgi Bilim: Einstein’ı ve Uzay-Zamanı Daha iyi Anlamak İçin Çizgibilim,Bruce Bassett,5.0,1,42.2
"Roloff/Matek Maschinenelemente: Normung, Berechnung, Gestaltung",Herbert Wittel,4.2,5,586.15
The Gypsum Construction Handbook (Rsmeans),USG,4.5,94,641.51
Speculative Empiricism: Revisiting Whitehead (Speculative Realism),Isabelle Stengers,4.0,1,454.24
